Sentence,Translation,Cloze,Pronunciation,TTSPronunciation,Note,Register,KeyMeaning,PitchAccent,Conjugations
注文金額を合計してください。,Sum the order amounts.,合計,注文【ちゅうもん】金額【きんがく】を合計【ごうけい】してください。,注文【ちゅうもん】金額【きんが、く】を合計【ごうけい】してください。,Backend - Aggregation,polite,total,"<ruby class=""vocab"">合計<rt><span class=""pitch-l"">ご</span><span class=""pitch-h"">う</span><span class=""pitch-h"">け</span><span class=""pitch-h"">い</span></rt></ruby>","<details class=""conjugation-section""><summary>Conjugations for 合計 (する動詞)</summary><table class=""conjugation-table""><tr><th colspan=""2"">Basic Forms</th></tr><tr><td>Dictionary 辞書形</td><td>合計する</td></tr><tr><td>Polite ます形</td><td>合計します</td></tr><tr><td>Polite Negative ません形</td><td>合計しません</td></tr><tr><td>Te-form て形</td><td>合計して</td></tr><tr><td>Polite Past ました形</td><td>合計しました</td></tr><tr><td>Progressive ている形</td><td>合計しています</td></tr><tr><th colspan=""2"">Advanced Forms</th></tr><tr><td>Potential 可能形</td><td>合計できる</td></tr><tr><td>Passive 受身形</td><td>合計される</td></tr><tr><td>Conditional たら形</td><td>合計したら</td></tr><tr><td>Volitional 意向形</td><td>合計しよう</td></tr><tr><td>Should べき形</td><td>合計すべき</td></tr><tr><th colspan=""2"">Keigo 敬語</th></tr><tr><td>Respectful 尊敬語</td><td>合計なさる</td></tr><tr><td>Humble 謙譲語</td><td>合計いたす</td></tr></table><table class=""conjugation-table te-table""><tr><th colspan=""2"">て形 Compounds</th></tr><tr><td>～てください</td><td>Please do (request)</td></tr><tr><td>～ています</td><td>Ongoing / resultant state</td></tr><tr><td>～ておく</td><td>Do in advance</td></tr><tr><td>～ていただく</td><td>Receive the favor of (humble request)</td></tr><tr><td>～てしまう</td><td>Completed (sometimes regrettable)</td></tr><tr><td>～てもらう</td><td>Have someone do</td></tr></table></details>"
平均評価を計算してください。,Calculate average rating.,平均,平均【へいきん】評価【ひょうか】を計算【けいさん】してください。,平均【へいきん】評価【ひょうか】を計算【けいさん】してください。,Monitoring - Average,polite,average,"<ruby class=""vocab"">平均<rt><span class=""pitch-l"">へ</span><span class=""pitch-h"">い</span><span class=""pitch-h"">き</span><span class=""pitch-h"">ん</span></rt></ruby>","<details class=""conjugation-section""><summary>Conjugations for 平均 (する動詞)</summary><table class=""conjugation-table""><tr><th colspan=""2"">Basic Forms</th></tr><tr><td>Dictionary 辞書形</td><td>平均する</td></tr><tr><td>Polite ます形</td><td>平均します</td></tr><tr><td>Polite Negative ません形</td><td>平均しません</td></tr><tr><td>Te-form て形</td><td>平均して</td></tr><tr><td>Polite Past ました形</td><td>平均しました</td></tr><tr><td>Progressive ている形</td><td>平均しています</td></tr><tr><th colspan=""2"">Advanced Forms</th></tr><tr><td>Potential 可能形</td><td>平均できる</td></tr><tr><td>Passive 受身形</td><td>平均される</td></tr><tr><td>Conditional たら形</td><td>平均したら</td></tr><tr><td>Volitional 意向形</td><td>平均しよう</td></tr><tr><td>Should べき形</td><td>平均すべき</td></tr><tr><th colspan=""2"">Keigo 敬語</th></tr><tr><td>Respectful 尊敬語</td><td>平均なさる</td></tr><tr><td>Humble 謙譲語</td><td>平均いたす</td></tr></table><table class=""conjugation-table te-table""><tr><th colspan=""2"">て形 Compounds</th></tr><tr><td>～てください</td><td>Please do (request)</td></tr><tr><td>～ています</td><td>Ongoing / resultant state</td></tr><tr><td>～ておく</td><td>Do in advance</td></tr><tr><td>～ていただく</td><td>Receive the favor of (humble request)</td></tr><tr><td>～てしまう</td><td>Completed (sometimes regrettable)</td></tr><tr><td>～てもらう</td><td>Have someone do</td></tr></table></details>"
webhookを受信してください。,Receive webhooks.,webhook,webhookを受信【じゅしん】してください。,webhookを受信【じゅしん】してください。,Backend - Webhook,polite,webhook,"<span class=""vocab"">webhook</span>",
コールバックを処理してください。,Process the callback.,コールバック,コールバックを処理【しょり】してください。,コールバックを処理【しょり】してください。,Development - Callback,polite,callback,"<span class=""vocab"">コールバック</span>",
イベントを発行してください。,Emit an event.,イベント,イベントを発行【はっこう】してください。,イベントを発行【はっこう】してください。,Frontend - Event,polite,event,"<ruby class=""vocab"">イベント<rt><span class=""pitch-l"">い</span><span class=""pitch-h"">べ</span><span class=""pitch-h"">ん</span><span class=""pitch-h"">と</span></rt></ruby>",
キューにパブリッシュしてください。,Publish to the queue.,パブリッシュ,キューにパブリッシュしてください。,キューにパブリッシュしてください。,Backend - Pub/Sub,polite,publish,"<ruby class=""vocab"">パブリッシュ<rt><span class=""pitch-h"">ぱ</span><span class=""pitch-l"">ぶ</span><span class=""pitch-l"">り</span><span class=""pitch-l"">っ</span><span class=""pitch-l"">しゅ</span></rt></ruby>",
イベントをサブスクライブしてください。,Subscribe to events.,サブスクライブ,イベントをサブスクライブしてください。,イベントをサブスクライブしてください。,Backend - Pub/Sub,polite,subscribe,"<ruby class=""vocab"">サブスクライブ<rt><span class=""pitch-l"">さ</span><span class=""pitch-h"">ぶ</span><span class=""pitch-h"">す</span><span class=""pitch-h"">く</span><span class=""pitch-h"">ら</span><span class=""pitch-l"">い</span><span class=""pitch-l"">ぶ</span></rt></ruby>",
キューにメッセージを送信してください。,Send a message to queue.,メッセージ,キューにメッセージを送信【そうしん】してください。,キューにメッセージを送信【そうしん】してください。,Backend - Messaging,polite,message,"<ruby class=""vocab"">メッセージ<rt><span class=""pitch-h"">め</span><span class=""pitch-l"">っ</span><span class=""pitch-l"">せ</span><span class=""pitch-l"">ー</span><span class=""pitch-l"">じ</span></rt></ruby>",
ブローカーとしてRabbitMQを使ってください。,Use RabbitMQ as broker.,ブローカー,ブローカーとしてRabbitMQを使【つか】ってください。,ブローカーとしてRabbitMQを使【つか】ってください。,Backend - Messaging,polite,broker,"<ruby class=""vocab"">ブローカー<rt><span class=""pitch-l"">ぶ</span><span class=""pitch-h"">ろ</span><span class=""pitch-l"">ー</span><span class=""pitch-l"">か</span><span class=""pitch-l"">ー</span></rt></ruby>",
ETLパイプラインを構築してください。,Build an ETL pipeline.,ETL,ETLパイプラインを構築【こうちく】してください。,ETLパイプラインを構築【こうちく】してください。,Data - Etl,polite,ETL (data pipeline),"<span class=""vocab"">ETL</span>",
ソースからデータを抽出してください。,Extract data from source.,抽出,ソースからデータを抽出【ちゅうしゅつ】してください。,ソースからデータを抽出【ちゅうしゅつ】してください。,Data - Etl,polite,extract,"<ruby class=""vocab"">抽出<rt><span class=""pitch-l"">ちゅ</span><span class=""pitch-h"">う</span><span class=""pitch-h"">しゅ</span><span class=""pitch-h"">つ</span></rt></ruby>","<details class=""conjugation-section""><summary>Conjugations for 抽出 (する動詞)</summary><table class=""conjugation-table""><tr><th colspan=""2"">Basic Forms</th></tr><tr><td>Dictionary 辞書形</td><td>抽出する</td></tr><tr><td>Polite ます形</td><td>抽出します</td></tr><tr><td>Polite Negative ません形</td><td>抽出しません</td></tr><tr><td>Te-form て形</td><td>抽出して</td></tr><tr><td>Polite Past ました形</td><td>抽出しました</td></tr><tr><td>Progressive ている形</td><td>抽出しています</td></tr><tr><th colspan=""2"">Advanced Forms</th></tr><tr><td>Potential 可能形</td><td>抽出できる</td></tr><tr><td>Passive 受身形</td><td>抽出される</td></tr><tr><td>Conditional たら形</td><td>抽出したら</td></tr><tr><td>Volitional 意向形</td><td>抽出しよう</td></tr><tr><td>Should べき形</td><td>抽出すべき</td></tr><tr><th colspan=""2"">Keigo 敬語</th></tr><tr><td>Respectful 尊敬語</td><td>抽出なさる</td></tr><tr><td>Humble 謙譲語</td><td>抽出いたす</td></tr></table><table class=""conjugation-table te-table""><tr><th colspan=""2"">て形 Compounds</th></tr><tr><td>～てください</td><td>Please do (request)</td></tr><tr><td>～ています</td><td>Ongoing / resultant state</td></tr><tr><td>～ておく</td><td>Do in advance</td></tr><tr><td>～ていただく</td><td>Receive the favor of (humble request)</td></tr><tr><td>～てしまう</td><td>Completed (sometimes regrettable)</td></tr><tr><td>～てもらう</td><td>Have someone do</td></tr></table></details>"
データ形式を変換してください。,Transform the data format.,変換,データ形式【けいしき】を変換【へんかん】してください。,データ形式【けいしき】を変換【へんかん】してください。,Data - Etl,polite,convert,"<ruby class=""vocab"">変換<rt><span class=""pitch-l"">へ</span><span class=""pitch-h"">ん</span><span class=""pitch-h"">か</span><span class=""pitch-h"">ん</span></rt></ruby>","<details class=""conjugation-section""><summary>Conjugations for 変換 (する動詞)</summary><table class=""conjugation-table""><tr><th colspan=""2"">Basic Forms</th></tr><tr><td>Dictionary 辞書形</td><td>変換する</td></tr><tr><td>Polite ます形</td><td>変換します</td></tr><tr><td>Polite Negative ません形</td><td>変換しません</td></tr><tr><td>Te-form て形</td><td>変換して</td></tr><tr><td>Polite Past ました形</td><td>変換しました</td></tr><tr><td>Progressive ている形</td><td>変換しています</td></tr><tr><th colspan=""2"">Advanced Forms</th></tr><tr><td>Potential 可能形</td><td>変換できる</td></tr><tr><td>Passive 受身形</td><td>変換される</td></tr><tr><td>Conditional たら形</td><td>変換したら</td></tr><tr><td>Volitional 意向形</td><td>変換しよう</td></tr><tr><td>Should べき形</td><td>変換すべき</td></tr><tr><th colspan=""2"">Keigo 敬語</th></tr><tr><td>Respectful 尊敬語</td><td>変換なさる</td></tr><tr><td>Humble 謙譲語</td><td>変換いたす</td></tr></table><table class=""conjugation-table te-table""><tr><th colspan=""2"">て形 Compounds</th></tr><tr><td>～てください</td><td>Please do (request)</td></tr><tr><td>～ています</td><td>Ongoing / resultant state</td></tr><tr><td>～ておく</td><td>Do in advance</td></tr><tr><td>～ていただく</td><td>Receive the favor of (humble request)</td></tr><tr><td>～てしまう</td><td>Completed (sometimes regrettable)</td></tr><tr><td>～てもらう</td><td>Have someone do</td></tr></table></details>"
データウェアハウスにロードしてください。,Load into data warehouse.,ロード,データウェアハウスにロードしてください。,データウェアハウスにロードしてください。,Data - Etl,polite,load,"<ruby class=""vocab"">ロード<rt><span class=""pitch-h"">ろ</span><span class=""pitch-l"">ー</span><span class=""pitch-l"">ど</span></rt></ruby>",
データパイプラインが失敗しました。,The data pipeline failed.,データパイプライン,データパイプラインが失敗【しっぱい】しました。,データパイプラインが失敗【しっぱい】しました。,Data - Pipeline,polite,pipeline,"<span class=""vocab"">データパイプライン</span>",
データをストリームとして処理してください。,Process data as a stream.,ストリーム,データをストリームとして処理【しょり】してください。,データをストリームとして処理【しょり】してください。,Data - Streaming,polite,stream,"<ruby class=""vocab"">ストリーム<rt><span class=""pitch-l"">す</span><span class=""pitch-h"">と</span><span class=""pitch-h"">り</span><span class=""pitch-l"">ー</span><span class=""pitch-l"">む</span></rt></ruby>",
夜間にバッチ処理をしてください。,Batch processing overnight.,バッチ処理,夜間【やかん】にバッチ処理【しょり】をしてください。,夜間【やかん】に、バッチ処理【しょり】を、してください。,Data - Batch,polite,batch processing,"<ruby class=""vocab"">バッチ処理<rt>しょり</rt></ruby>",
リアルタイムデータ処理を行ってください。,Real-time data processing.,リアルタイム,リアルタイムデータ処理【しょり】を行【おこな】ってください。,リアルタイムデータ処理【しょり】を行【おこな】ってください。,Data - Real-Time,polite,real-time,"<span class=""vocab"">リアルタイム</span>",
データウェアハウスにクエリしてください。,Query the data warehouse.,データウェアハウス,データウェアハウスにクエリしてください。,データウェアハウスにクエリしてください。,Data - Warehouse,polite,data,"<span class=""vocab"">データウェアハウス</span>",
生データをデータレイクに保存してください。,Store raw data in lake.,データレイク,生【なま】データをデータレイクに保存【ほぞん】してください。,生【なま】データをデータレイクに保存【ほぞん】してください。,Data - Lake,polite,data,"<span class=""vocab"">データレイク</span>",
データスキーマを定義してください。,Define the data schema.,スキーマ,データスキーマを定義【ていぎ】してください。,データスキーマを定義【ていぎ】してください。,Data - Schema,polite,schema,"<ruby class=""vocab"">スキーマ<rt><span class=""pitch-l"">す</span><span class=""pitch-h"">き</span><span class=""pitch-l"">ー</span><span class=""pitch-l"">ま</span></rt></ruby>",
Parquet形式を使ってください。,Use Parquet format.,Parquet,Parquet形式【けいしき】を使【つか】ってください。,Parquet形式【けいしき】を使【つか】ってください。,Data - Format,polite,Parquet,"<span class=""vocab"">Parquet</span>",
CSVにエクスポートしてください。,Export to CSV.,CSV,CSVにエクスポートしてください。,CSVにエクスポートしてください。,Data - Format,polite,CSV,"<span class=""vocab"">CSV</span>",
JSONファイルをパースしてください。,Parse the JSON file.,JSON,JSONファイルをパースしてください。,JSONファイルをパースしてください。,Data - Format,polite,JSON,"<span class=""vocab"">JSON</span>",
XMLをJSONに変換してください。,Convert XML to JSON.,XML,XMLをJSONに変換【へんかん】してください。,XMLをJSONに変換【へんかん】してください。,Data - Format,polite,XML,"<span class=""vocab"">XML</span>",
データを正規化してください。,Normalize the data.,正規化,データを正規化【せいきか】してください。,データを正規化【せいきか】してください。,Data - Normalization,polite,normalize,"<ruby class=""vocab"">正規化<rt>せいきか</rt></ruby>",
クエリ用に非正規化してください。,Denormalize for queries.,非正規化,クエリ用【よう】に非正規化【ひせいきか】してください。,クエリ用【よう】に非正規化【ひせいきか】してください。,Data - Denormalization,polite,normalize,"<ruby class=""vocab"">非正規化<rt>ひせいきか</rt></ruby>",
レコードの重複を排除してください。,Dedup the records.,重複排除,レコードの重複【じゅうふく】を排除【はいじょ】してください。,レコードの重複【じゅうふく】を排除【はいじょ】してください。,Data - Deduplication,polite,dedup,"<span class=""vocab"">重複排除</span>",
データ品質を検証してください。,Validate data quality.,データ品質,データ品質【ひんしつ】を検証【けんしょう】してください。,データ品質【ひんしつ】を検証【けんしょう】してください。,Data - Quality,polite,data,"<ruby class=""vocab"">データ品質<rt>ひんしつ</rt></ruby>",
データセットをクレンジングしてください。,Clean the dataset.,クレンジング,データセットをクレンジングしてください。,データセットをクレンジングしてください。,Data - Cleansing,polite,range,"<ruby class=""vocab"">クレンジング<rt><span class=""pitch-l"">く</span><span class=""pitch-h"">れ</span><span class=""pitch-l"">ん</span><span class=""pitch-l"">じ</span><span class=""pitch-l"">ん</span><span class=""pitch-l"">ぐ</span></rt></ruby>",
